Character,唐Left_Entropy,唐Right_Entropy,宋Left_Entropy,宋Right_Entropy,元Left_Entropy,元Right_Entropy,明Left_Entropy,明Right_Entropy,清Left_Entropy,清Right_Entropy,CaiLeft_Entropy,CaiRight_Entropy
锡,3.182527966032892,8.668037126537863,7.341642258589482,8.347755186311177,5.857476463004943,7.731527677784562,6.388344947069445,9.023352568729663,5.907109508960266,7.952426019307227,5.162952032652472,6.294755195403959
残,8.868962430560046,7.37759795303443,9.386185380829849,8.01315055355493,8.79658869238909,7.546518489585972,9.324610293460076,8.339335692590955,9.497499186705896,7.983193018474099,6.739915011412206,4.459920546103773
簪,7.238323271025047,6.639894849502735,8.066954229574513,7.661243265082568,6.480521357201321,7.0808333719464125,7.442199719593051,7.965676846535972,7.877430183830778,7.206323290840473,1.0389205950315936,3.773557262275185
姜,5.4455292463326455,5.276883201856755,8.017144362348164,4.052473753798611,5.851221652518013,5.82493182572254,6.825332246971936,6.978555587152734,7.397150644792353,7.297403489954452,6.475523431482362,5.987070936857911
贬,5.154465235607309,5.081277287251468,5.492702597313055,6.9004281678225965,3.6414460711655217,3.984183719779189,5.150756403152215,5.917208106045724,5.024421893401767,5.8342094594480525,5.66760766502481,2.5853397930345774
阡,5.086346749038481,3.924321448604987,5.679453689209336,6.437557525110648,4.911182784098729,5.063210859699317,6.402530966350479,6.861513113751381,6.234743571271165,5.588849892666846,1.145110414381583,0.7793498372920852
墠,0.7219280948873623,2.321928094887362,-0.0,2.235926350629033,1.0,1.0,2.41379956460568,3.235926350629033,1.584962500721156,1.584962500721156,1.584962500721156,-0.0
东,9.186354015989014,7.371163818083824,9.75200806414465,7.254405959317326,9.300986426442355,7.151437018161766,9.660478833104415,7.462780354878382,9.402431678815194,7.226146719931214,4.980745743633838,1.3625161392317673
佛,7.284780875247645,7.437707958006785,8.243691598086675,8.306735080977196,6.654149568111564,7.722970838213795,7.462315355163343,8.447552400687014,7.751682623990565,8.716566491770802,6.614558975100793,6.391114055023879
坯,1.3709505944546687,1.9219280948873625,4.739097917988785,4.284527696416555,2.94770277922009,2.94770277922009,3.2339979078388263,3.993941080432973,2.321928094887362,2.321928094887362,2.287783719941071,2.1416195253341384
妥,3.9219280948873614,3.139353872167201,6.531708319122124,5.532105712090452,5.40399812257623,5.142824886638042,5.9547835819106085,5.862929943703248,6.146461248859133,6.618101006172311,5.57085506205161,4.448904647468059
怠,3.5766176449086657,3.932138039759374,5.166134630788359,6.373645664800851,4.005958095007848,4.777020933196518,5.141114721342228,6.165284095189556,4.649979102494203,5.244999224615142,3.868266088258708,3.793932934378418
士,5.946655198049311,8.761419243464651,7.06908630308053,9.66942735084862,6.428533672864227,9.11812527364504,6.7096209999947884,9.085183446677563,7.081811497308505,9.090001863248856,4.421084710390341,7.137274270212858
著,8.509980660939975,8.273908886837656,8.779853174044279,8.947745453574663,8.5065468112027,8.134675756911374,9.039140427149336,8.18522966577727,9.064567729074634,8.262932177777733,6.995891836098745,3.307763911957747
求,8.083452352283828,8.510897449549473,8.537378227263272,9.105221854447556,7.948287390741812,8.452825476635718,8.527283796197127,9.115004922845811,8.046412130955707,8.430711803713784,5.801176996093235,5.24543515503486
臣,6.63620161031786,8.870529458955419,6.110016792102411,9.83789448209831,6.959006369446794,8.99144669678687,6.949273820857458,9.637243181809223,7.909475565589492,9.22988148318734,4.535867737116169,6.019032196434427
龙,8.89013879340795,8.562444265066928,9.229301167067735,8.934471079495234,8.81378335639348,8.634351899417377,8.656784594097974,8.912230302377324,8.920906343566594,8.926015063811418,7.041065803475063,7.194023304458581
团,6.54293783133634,5.595622630723204,7.27092772004936,7.382586423948905,6.491059741957095,6.47932439298231,7.299717491175028,7.256317329024568,8.035158600063943,6.162607060889673,5.632849633646225,6.336070769518553
付,6.18319591112897,6.366538418245594,8.139736166676718,8.045495152432768,7.133567112784188,7.105767702878877,7.851675496943056,8.101866057948028,8.003154350726469,7.674379284743447,5.920789570520611,5.880591625831938
