,Charcter,Frequency,log_frequency,Frequency_per_million,CD,Log_CD,Strokes,Tone,Rhyme
9070,跉,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,12.0,平,下平九青
9071,揌,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,12.0,平,上平十灰
9072,柖,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,9.0,平/仄,下平二萧 上声十七筱
9073,坩,13,1.1139433523068367,0.252439316,13,1.1139433523068367,8.0,平,下平十三覃
9074,㾓,8,0.9030899869919436,0.1553472719999999,8,0.9030899869919436,12.0,平,下平一先
9075,橱,56,1.7481880270062005,1.0874309009999998,56,1.7481880270062005,16.0,平,上平七虞
9076,芨,10,1.0,0.1941840889999999,10,1.0,6.0,仄,入声十四缉
9077,筁,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,12.0,仄,入声二沃
9078,䟐,3,0.4771212547196624,0.058255227,3,0.4771212547196624,23.0,仄,入声十二锡
9079,坫,175,2.2430380486862944,3.398221565,175,2.2430380486862944,8.0,仄,去声二十九艳
9080,䕹,1,0.0,0.0194184089999999,1,0.0,24.0,仄,入声十五合
9081,鋞,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,15.0,平/仄,下平八庚 下平九青 上声二十三梗 上声二十四迥 去声二十五径
9082,㪇,1,0.0,0.0194184089999999,1,0.0,10.0,仄,去声十七霰
9083,㩻,11,1.0413926851582251,0.213602498,11,1.0413926851582251,10.0,仄,去声四寘
9084,跐,10,1.0,0.1941840889999999,10,1.0,13.0,仄,上声四纸
9085,擖,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,15.0,仄,入声八黠 入声十六叶
9086,㤞,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,9.0,仄,入声十药
9087,硩,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,12.0,仄,入声九屑 入声十二锡
9088,簎,3,0.4771212547196624,0.058255227,2,0.3010299956639812,17.0,仄,入声三觉 入声十一陌
9089,駴,52,1.7160033436347992,1.009757265,52,1.7160033436347992,17.0,仄,上声九蟹
9090,緵,10,1.0,0.1941840889999999,8,0.9030899869919436,15.0,平/仄,上平一东 去声一送
9091,阺,3,0.4771212547196624,0.058255227,3,0.4771212547196624,7.0,平/仄,上平四支 上声八荠
9092,䤨,1,0.0,0.0194184089999999,1,0.0,14.0,仄,入声十一陌 入声十二锡
9093,摫,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,14.0,平,上平四支
9094,㖇,1,0.0,0.0194184089999999,1,0.0,9.0,平,上平四支
9095,棿,1,0.0,0.0194184089999999,1,0.0,12.0,平,上平八齐
9096,畧,3,0.4771212547196624,0.058255227,3,0.4771212547196624,11.0,,
9097,柎,25,1.3979400086720375,0.485460224,25,1.3979400086720375,9.0,平,上平七虞
9098,敓,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,11.0,,
9099,㘈,6,0.7781512503836436,0.116510454,4,0.6020599913279624,17.0,仄,入声十三职
9100,镖,17,1.230448921378274,0.330112952,17,1.230448921378274,16.0,平,下平二萧
9101,㜕,12,1.0791812460476249,0.233020907,12,1.0791812460476249,14.0,,
9102,禫,18,1.2552725051033058,0.349531361,18,1.2552725051033058,16.0,仄,上声二十七感
9103,埔,38,1.57978359661681,0.73789954,38,1.57978359661681,10.0,,
9104,颫,3,0.4771212547196624,0.058255227,3,0.4771212547196624,13.0,平,上平七虞
9105,糹,1,0.0,0.0194184089999999,1,0.0,6.0,,
9106,珏,32,1.505149978319906,0.621389086,30,1.4771212547196624,9.0,仄,入声三觉
9107,䜕,1,0.0,0.0194184089999999,1,0.0,20.0,仄,去声十卦
9108,涭,1,0.0,0.0194184089999999,1,0.0,11.0,仄,上声二十五有
9109,崽,5,0.6989700043360189,0.097092045,5,0.6989700043360189,12.0,平/仄,上平九佳 上声十贿
9110,䩋,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,20.0,仄,上声二十哿
9111,靧,80,1.9030899869919435,1.553472715,80,1.9030899869919435,21.0,仄,去声十一队
9112,䔩,7,0.8450980400142568,0.135928863,5,0.6989700043360189,17.0,,
9113,䗱,2,0.3010299956639812,0.0388368179999999,1,0.0,18.0,仄,入声一屋
9114,浤,21,1.3222192947339193,0.4077865879999999,19,1.2787536009528289,10.0,平,下平八庚
9115,喢,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,12.0,仄,入声十六叶
9116,柧,7,0.8450980400142568,0.135928863,7,0.8450980400142568,9.0,平,上平七虞
9117,蝹,14,1.146128035678238,0.271857725,10,1.0,15.0,平/仄,上平十二文 上声十九皓
9118,吵,14,1.146128035678238,0.271857725,12,1.0791812460476249,7.0,平/仄,下平三肴 上声十七筱 上声十八巧
9119,閦,16,1.2041199826559248,0.310694543,16,1.2041199826559248,14.0,仄,入声一屋
9120,屁,13,1.1139433523068367,0.252439316,11,1.0413926851582251,7.0,仄,去声四寘
9121,鄹,12,1.0791812460476249,0.233020907,12,1.0791812460476249,16.0,平,下平十一尤
9122,㠥,7,0.8450980400142568,0.135928863,5,0.6989700043360189,21.0,仄,上声十贿
9123,窮,1,0.0,0.0194184089999999,1,0.0,15.0,,
9124,璖,6,0.7781512503836436,0.116510454,6,0.7781512503836436,15.0,,
9125,窡,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,13.0,仄,入声八黠
9126,䪻,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,14.0,仄,去声十七霰
9127,扐,8,0.9030899869919436,0.1553472719999999,8,0.9030899869919436,5.0,仄,入声十三职
9128,獱,1,0.0,0.0194184089999999,1,0.0,17.0,,
9129,㺗,1,0.0,0.0194184089999999,1,0.0,15.0,平,上平十五删
9130,唠,24,1.380211241711606,0.466041815,12,1.0791812460476249,10.0,平,下平四豪
9131,榸,5,0.6989700043360189,0.097092045,5,0.6989700043360189,14.0,平,上平九佳
9132,䜝,1,0.0,0.0194184089999999,1,0.0,21.0,仄,上声十三阮
9133,㟅,15,1.1760912590556811,0.2912761339999999,15,1.1760912590556811,9.0,平,上平三江
9134,恞,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,9.0,平,上平四支
9135,笐,5,0.6989700043360189,0.097092045,5,0.6989700043360189,10.0,平,下平七阳
9136,芚,9,0.9542425094393248,0.17476568,9,0.9542425094393248,7.0,平,上平十三元
9137,溻,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,13.0,仄,入声十五合
9138,㠔,6,0.7781512503836436,0.116510454,4,0.6020599913279624,16.0,仄,去声十卦
9139,圪,6,0.7781512503836436,0.116510454,5,0.6989700043360189,6.0,仄,入声四质
9140,眓,1,0.0,0.0194184089999999,1,0.0,10.0,仄,入声七曷 入声九屑
9141,劁,1,0.0,0.0194184089999999,1,0.0,14.0,平/仄,下平二萧 去声十八啸
9142,懱,1,0.0,0.0194184089999999,1,0.0,17.0,仄,入声九屑
9143,凚,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,15.0,仄,上声二十六寝
9144,獓,1,0.0,0.0194184089999999,1,0.0,13.0,平,下平四豪
9145,峗,10,1.0,0.1941840889999999,10,1.0,9.0,平,上平四支
9146,蜫,5,0.6989700043360189,0.097092045,5,0.6989700043360189,14.0,平,上平十三元
9147,刱,8,0.9030899869919436,0.1553472719999999,8,0.9030899869919436,8.0,,
9148,鞈,13,1.1139433523068367,0.252439316,13,1.1139433523068367,15.0,仄,入声十六叶
9149,荖,14,1.146128035678238,0.271857725,14,1.146128035678238,9.0,仄,上声十九皓
9150,潎,12,1.0791812460476249,0.233020907,9,0.9542425094393248,14.0,仄,去声八霁 入声九屑
9151,䯗,1,0.0,0.0194184089999999,1,0.0,17.0,仄,上声八荠
9152,揁,1,0.0,0.0194184089999999,1,0.0,12.0,平,下平八庚
9153,喌,8,0.9030899869919436,0.1553472719999999,5,0.6989700043360189,12.0,平/仄,下平十一尤 入声一屋
9154,鰅,21,1.3222192947339193,0.4077865879999999,21,1.3222192947339193,20.0,平,上平七虞
9155,鳙,28,1.4471580313422192,0.54371545,28,1.4471580313422192,19.0,平,上平二冬
9156,冊,1,0.0,0.0194184089999999,1,0.0,5.0,,
9157,䰉,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,20.0,平,上平十五删
